Time,PG1,PG2,PG3,PG4,PG5,PG6
09:53:35,451,366,1168,665,1265,1608
11:02:25,436,365,1161,680,1266,1604
11:55:17,416,368,1155,690,1263,1597
12:56:14,423,382,1148,703,1267,1590
13:50:22,420,373,1151,711,1275,1583
14:45:06,419,372,1152,700,1276,1577
15:40:26,419,371,1154,702,1280,1574
15:59:19,420,373,1156,708,1282,1571
19:38:34,415,356,1165,678,1290,1586
20:32:37,413,346,1167,672,1275,1594
21:22:52,418,326,1168,655,1264,1595
21:46:17,419,316,1170,652,1251,1595
23:56:55,432,295,1164,633,1231,1613
00:34:29,434,292,1167,632,1229,1617
00:58:03,438,290,1167,630,1228,1617
01:21:41,437,290,1167,629,1223,1617
01:47:22,438,290,1167,630,1223,1617
02:12:18,436,290,1167,626,1224,1617
02:27:23,434,290,1167,625,1225,1617
02:42:32,437,289,1167,625,1225,1616
02:58:04,435,289,1167,624,1225,1616
03:13:33,435,289,1166,624,1223,1616
03:28:41,435,290,1166,624,1224,1616
04:05:30,434,289,1165,625,1223,1616
04:20:35,434,289,1165,625,1221,1616
04:35:49,435,289,1165,626,1222,1615
04:50:55,435,289,1165,625,1224,1615
05:06:04,436,289,1165,624,1222,1615
10:22:03,0,32,638,366,212,924
10:37:09,0,17,562,333,161,836
10:52:15,0,0,500,292,65,699
11:07:21,4,8,472,274,7,616
11:22:27,0,1,405,242,0,485
11:37:32,0,0,379,230,0,448
11:52:38,0,0,372,227,0,407
12:08:04,0,0,355,220,17,365
12:23:11,0,0,349,215,32,354
12:38:17,0,0,366,208,43,362
12:53:23,0,0,367,218,89,357
13:08:29,0,4,385,214,128,348
13:23:34,0,2,401,220,135,353
13:38:39,0,0,399,225,137,374
13:53:44,0,0,401,229,183,365
14:08:55,3,14,409,249,211,406
14:24:03,0,31,416,267,224,423
14:39:14,7,36,415,270,251,421
17:07:28,11,114,560,382,564,762
17:22:35,5,125,583,394,606,804
17:37:41,0,123,609,405,613,830
17:52:47,0,125,626,433,635,862
18:07:53,1,114,629,440,645,895
18:23:00,17,112,647,445,649,938
18:38:10,22,123,675,459,692,1008
18:53:30,35,130,696,459,720,1047
19:14:37,72,140,712,479,738,1091
19:36:26,110,158,727,484,749,1151
19:58:55,175,177,764,513,791,1234
20:18:14,210,199,831,551,850,1330
20:35:51,232,209,868,566,889,1368
20:55:52,259,211,912,565,908,1396
21:19:46,298,220,943,586,966,1429
23:13:49,399,256,1131,637,1100,1564
23:28:57,407,251,1138,636,1105,1569
23:44:04,413,250,1140,635,1107,1575
23:59:09,420,248,1142,636,1106,1579
00:14:16,426,249,1148,636,1102,1584
00:29:21,426,245,1150,635,1097,1585
00:44:27,423,244,1148,634,1099,1591
00:59:37,426,244,1149,634,1099,1590
01:14:45,427,246,1152,634,1100,1594
01:29:51,427,247,1153,630,1100,1596
01:44:57,428,246,1154,630,1099,1599
02:00:06,430,246,1156,631,1100,1600
02:15:12,433,246,1156,631,1099,1604
02:30:18,435,247,1156,631,1100,1605
02:45:24,434,248,1156,631,1100,1606
03:00:33,433,247,1156,630,1100,1608
03:15:39,434,247,1156,630,1100,1609
03:30:49,434,246,1156,629,1098,1611
03:45:56,435,246,1156,628,1098,1611
04:01:02,436,246,1156,627,1100,1611
04:16:08,436,246,1156,627,1100,1614
04:31:14,437,246,1156,627,1100,1614
04:46:23,439,247,1156,626,1099,1615
05:01:28,439,248,1155,627,1097,1615
05:16:35,438,247,1154,627,1095,1615
05:31:43,437,248,1147,627,1236,1613
05:46:49,437,246,1146,626,1237,1611
06:01:56,434,249,1151,628,1237,1608
06:17:02,434,248,1150,629,1237,1607
06:32:08,429,248,1148,630,1229,1605
07:12:41,410,245,1151,633,1192,1592
08:39:22,211,101,1110,583,814,1461
09:40:25,0,0,836,493,348,1197
10:40:01,0,0,661,396,118,913
11:42:25,0,0,468,283,0,591
12:05:30,0,0,400,265,0,550
12:20:37,0,0,388,253,0,553
12:36:21,0,0,390,252,0,588

